GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US17193,17193,"White County, Illinois",14665,14665,14631,14597,14568
0500000US17195,17195,"Whiteside County, Illinois",58498,58498,58465,58240,57846
0500000US17197,17197,"Will County, Illinois",677560,677560,678883,680584,682518
0500000US17199,17199,"Williamson County, Illinois",66357,66362,66416,66680,66674
0500000US17201,17201,"Winnebago County, Illinois",295266,295264,295096,293660,292069
0500000US17203,17203,"Woodford County, Illinois",38664,38664,38639,38942,38971
0500000US18001,18001,"Adams County, Indiana",34387,34387,34424,34360,34365
0500000US18003,18003,"Allen County, Indiana",355329,355329,355795,358536,360412
0500000US18005,18005,"Bartholomew County, Indiana",76794,76794,76893,77817,79129
0500000US18007,18007,"Benton County, Indiana",8854,8854,8873,8867,8804
0500000US18009,18009,"Blackford County, Indiana",12766,12766,12741,12654,12502
0500000US18011,18011,"Boone County, Indiana",56640,56640,56805,57805,58944
0500000US18013,18013,"Brown County, Indiana",15242,15242,15205,15083,15083
0500000US18015,18015,"Carroll County, Indiana",20155,20155,20154,20058,20095
0500000US18017,18017,"Cass County, Indiana",38966,38966,38948,38810,38581
0500000US18019,18019,"Clark County, Indiana",110232,110232,110555,111520,111951
0500000US18021,18021,"Clay County, Indiana",26890,26888,26868,26878,26837
0500000US18023,18023,"Clinton County, Indiana",33224,33224,33186,33056,33022
0500000US18025,18025,"Crawford County, Indiana",10713,10713,10732,10655,10665
0500000US18027,18027,"Daviess County, Indiana",31648,31654,31726,31896,32064
0500000US18029,18029,"Dearborn County, Indiana",50047,50047,50079,50036,49831
0500000US18031,18031,"Decatur County, Indiana",25740,25740,25774,25851,26042
0500000US18033,18033,"DeKalb County, Indiana",42223,42223,42250,42433,42321
0500000US18035,18035,"Delaware County, Indiana",117671,117671,117649,117784,117364
0500000US18037,18037,"Dubois County, Indiana",41889,41889,41871,42182,42071
0500000US18039,18039,"Elkhart County, Indiana",197559,197561,197476,198700,199619
0500000US18041,18041,"Fayette County, Indiana",24277,24277,24284,24156,24029
0500000US18043,18043,"Floyd County, Indiana",74578,74578,74657,75006,75283
0500000US18045,18045,"Fountain County, Indiana",17240,17240,17268,17135,17119
0500000US18047,18047,"Franklin County, Indiana",23087,23087,23066,22982,22969
0500000US18049,18049,"Fulton County, Indiana",20836,20836,20825,20804,20737
0500000US18051,18051,"Gibson County, Indiana",33503,33503,33544,33507,33458
0500000US18053,18053,"Grant County, Indiana",70061,70061,69978,69675,69330
0500000US18055,18055,"Greene County, Indiana",33165,33165,33185,33061,32940
0500000US18057,18057,"Hamilton County, Indiana",274569,274569,276425,283201,289495
0500000US18059,18059,"Hancock County, Indiana",70002,70002,70192,70477,70933
0500000US18061,18061,"Harrison County, Indiana",39364,39364,39357,39245,39134
0500000US18063,18063,"Hendricks County, Indiana",145448,145448,145879,148433,150434
0500000US18065,18065,"Henry County, Indiana",49462,49462,49451,49386,49345
0500000US18067,18067,"Howard County, Indiana",82752,82752,82730,82817,82849
0500000US18069,18069,"Huntington County, Indiana",37124,37124,37099,37184,36987
0500000US18071,18071,"Jackson County, Indiana",42376,42376,42555,42930,43083
0500000US18073,18073,"Jasper County, Indiana",33478,33478,33531,33424,33456
0500000US18075,18075,"Jay County, Indiana",21253,21253,21182,21352,21366
0500000US18077,18077,"Jefferson County, Indiana",32428,32428,32455,32353,32554
0500000US18079,18079,"Jennings County, Indiana",28525,28525,28478,28199,28161
0500000US18081,18081,"Johnson County, Indiana",139654,139654,140020,141439,143191
0500000US18083,18083,"Knox County, Indiana",38440,38440,38393,38450,38122
0500000US18085,18085,"Kosciusko County, Indiana",77358,77356,77323,77356,77609
0500000US18087,18087,"LaGrange County, Indiana",37128,37128,37166,37435,37521
0500000US18089,18089,"Lake County, Indiana",496005,496005,496112,495153,493618
0500000US18091,18091,"LaPorte County, Indiana",111467,111467,111432,111263,111246
0500000US18093,18093,"Lawrence County, Indiana",46134,46134,46134,46073,46078
0500000US18095,18095,"Madison County, Indiana",131636,131636,131648,131089,130348
0500000US18097,18097,"Marion County, Indiana",903393,903393,904797,911005,918977
0500000US18099,18099,"Marshall County, Indiana",47051,47051,47017,47044,47024
0500000US18101,18101,"Martin County, Indiana",10334,10328,10332,10302,10260
0500000US18103,18103,"Miami County, Indiana",36903,36903,36781,36575,36486
0500000US18105,18105,"Monroe County, Indiana",137974,137969,138557,140063,141019
0500000US18107,18107,"Montgomery County, Indiana",38124,38124,38068,38331,38254
0500000US18109,18109,"Morgan County, Indiana",68894,68894,69086,69177,69356
0500000US18111,18111,"Newton County, Indiana",14244,14244,14265,14131,14044
0500000US18113,18113,"Noble County, Indiana",47536,47536,47496,47523,47582
0500000US18115,18115,"Ohio County, Indiana",6128,6128,6107,6077,6079
0500000US18117,18117,"Orange County, Indiana",19840,19840,19796,19885,19690
0500000US18119,18119,"Owen County, Indiana",21575,21580,21581,21547,21380
0500000US18121,18121,"Parke County, Indiana",17339,17341,17272,17100,17069
0500000US18123,18123,"Perry County, Indiana",19338,19338,19433,19475,19462
0500000US18125,18125,"Pike County, Indiana",12845,12845,12843,12751,12766
0500000US18127,18127,"Porter County, Indiana",164343,164343,164565,165574,165682
0500000US18129,18129,"Posey County, Indiana",25910,25910,25878,25704,25599
0500000US18131,18131,"Pulaski County, Indiana",13402,13402,13352,13307,13124
0500000US18133,18133,"Putnam County, Indiana",37963,37963,37928,37921,37750
0500000US18135,18135,"Randolph County, Indiana",26171,26171,26146,26001,25815
0500000US18137,18137,"Ripley County, Indiana",28818,28818,28825,28781,28583
0500000US18139,18139,"Rush County, Indiana",17392,17392,17353,17294,17095
0500000US18141,18141,"St. Joseph County, Indiana",266931,266929,266811,266661,266344
0500000US18143,18143,"Scott County, Indiana",24181,24181,24193,23984,23791
0500000US18145,18145,"Shelby County, Indiana",44436,44436,44383,44423,44471
0500000US18147,18147,"Spencer County, Indiana",20952,20952,20889,21046,20837
